Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,PLAYER_NAME
1,190,1,2023-10-25,TOR,,MIN,"W, 97-94",,24:17,4.0,9.0,.444,0.0,1.0,.000,4.0,8.0,.500,.444,0.0,0.0,,3.0,5.0,8.0,0.0,0.0,0.0,2.0,1.0,8.0,4.5,-5,2024,Precious Achiuwa
2,191,2,2023-10-27,TOR,@,CHI,"L, 103-104 (OT)",,22:38,2.0,5.0,.400,1.0,3.0,.333,1.0,2.0,.500,.500,3.0,3.0,1.000,2.0,7.0,9.0,1.0,0.0,0.0,3.0,6.0,8.0,4.1,-22,2024,Precious Achiuwa
3,192,3,2023-10-28,TOR,,PHI,"L, 107-114",,18:15,3.0,10.0,.300,0.0,1.0,.000,3.0,9.0,.333,.300,0.0,0.0,,3.0,4.0,7.0,3.0,0.0,1.0,1.0,1.0,6.0,4.9,5,2024,Precious Achiuwa
4,193,9,2023-11-11,TOR,@,BOS,"L, 94-117",,18:31,1.0,5.0,.200,0.0,2.0,.000,1.0,3.0,.333,.200,0.0,0.0,,0.0,5.0,5.0,5.0,0.0,0.0,0.0,1.0,2.0,3.5,-12,2024,Precious Achiuwa
5,194,10,2023-11-13,TOR,,WAS,"W, 111-107",,19:16,5.0,8.0,.625,0.0,1.0,.000,5.0,7.0,.714,.625,0.0,0.0,,1.0,3.0,4.0,1.0,1.0,0.0,2.0,1.0,10.0,7.3,8,2024,Precious Achiuwa
6,195,11,2023-11-15,TOR,,MIL,"L, 112-128",,17:19,4.0,7.0,.571,1.0,2.0,.500,3.0,5.0,.600,.643,2.0,2.0,1.000,3.0,1.0,4.0,0.0,0.0,2.0,1.0,3.0,11.0,9.3,-3,2024,Precious Achiuwa
7,196,12,2023-11-17,TOR,,BOS,"L, 105-108",,24:26,2.0,4.0,.500,0.0,2.0,.000,2.0,2.0,1.000,.500,1.0,2.0,.500,0.0,9.0,9.0,1.0,2.0,0.0,1.0,1.0,5.0,6.6,-2,2024,Precious Achiuwa
8,197,13,2023-11-19,TOR,,DET,"W, 142-113",,18:37,5.0,10.0,.500,2.0,4.0,.500,3.0,6.0,.500,.600,0.0,2.0,.000,3.0,3.0,6.0,5.0,0.0,0.0,0.0,1.0,12.0,12.3,17,2024,Precious Achiuwa
9,198,14,2023-11-21,TOR,@,ORL,"L, 107-126",,14:58,2.0,4.0,.500,0.0,1.0,.000,2.0,3.0,.667,.500,1.0,2.0,.500,2.0,4.0,6.0,4.0,1.0,0.0,3.0,3.0,5.0,4.8,-9,2024,Precious Achiuwa
10,199,16,2023-11-24,TOR,,CHI,"W, 121-108",,17:35,3.0,4.0,.750,0.0,0.0,,3.0,4.0,.750,.750,2.0,2.0,1.000,3.0,4.0,7.0,4.0,0.0,3.0,2.0,0.0,8.0,12.6,-2,2024,Precious Achiuwa
