Rk,Gcar,Gtm,Date,Team,Unnamed: 5,Opp,Result,GS,MP,FG,FGA,FG%,3P,3PA,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GmSc,+/-,SEASON_END,3P%,Unnamed: 4,PLAYER_NAME
1,707,4,2024-10-28,HOU,@,SAS,"W, 106-101",,13:52,3.0,3.0,1.000,0.0,0.0,3.0,3.0,1.000,1.000,0.0,1.0,.000,1.0,2.0,3.0,0.0,0.0,0.0,1.0,3.0,6.0,3.8,11,2025,,,Steven Adams
2,708,5,2024-10-31,HOU,@,DAL,"W, 108-102",,09:58,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,1.0,0.0,1.0,3.0,1.0,0.0,0.0,2.0,0.0,3.0,-4,2025,,,Steven Adams
3,709,7,2024-11-04,HOU,,NYK,"W, 109-97",,13:39,1.0,4.0,.250,0.0,0.0,1.0,4.0,.250,.250,2.0,4.0,.500,3.0,2.0,5.0,3.0,0.0,0.0,1.0,1.0,4.0,4.2,-6,2025,,,Steven Adams
4,710,9,2024-11-08,HOU,@,OKC,"L, 107-126",,15:31,2.0,2.0,1.000,0.0,0.0,2.0,2.0,1.000,1.000,1.0,3.0,.333,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,5.0,2.9,-11,2025,,,Steven Adams
5,711,11,2024-11-11,HOU,,WAS,"W, 107-92",,15:11,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,0.0,,3.0,4.0,7.0,1.0,0.0,0.0,4.0,2.0,2.0,0.2,-4,2025,,,Steven Adams
6,712,13,2024-11-15,HOU,,LAC,"W, 125-104",,06:57,0.0,0.0,,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,-0.4,-10,2025,,,Steven Adams
7,713,15,2024-11-18,HOU,@,MIL,"L, 100-101",,05:29,1.0,2.0,.500,0.0,0.0,1.0,2.0,.500,.500,0.0,0.0,,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,-12,2025,,,Steven Adams
8,714,17,2024-11-22,HOU,,POR,"W, 116-88",,14:59,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,3.0,0.0,0.0,3.0,1.0,1.0,-0.4,15,2025,,,Steven Adams
9,715,20,2024-11-27,HOU,@,PHI,"W, 122-115 (OT)",,07:00,0.0,2.0,.000,0.0,0.0,0.0,2.0,.000,.000,2.0,4.0,.500,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,2.0,0.7,4,2025,,,Steven Adams
10,716,21,2024-12-01,HOU,,OKC,"W, 119-116",,03:30,0.0,0.0,,0.0,0.0,0.0,0.0,,,1.0,2.0,.500,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9,5,2025,,,Steven Adams
11,717,22,2024-12-03,HOU,@,SAC,"L, 111-120",,10:31,0.0,1.0,.000,0.0,0.0,0.0,1.0,.000,.000,1.0,2.0,.500,2.0,4.0,6.0,0.0,0.0,0.0,1.0,1.0,1.0,1.1,9,2025,,,Steven Adams
12,718,23,2024-12-05,HOU,@,GSW,"L, 93-99",,17:35,3.0,4.0,.750,0.0,0.0,3.0,4.0,.750,.750,0.0,0.0,,4.0,2.0,6.0,3.0,0.0,1.0,0.0,2.0,6.0,9.8,10,2025,,,Steven Adams
