Game_Date,Game_Time,Name,Team,Opp,Proj_PTS,Proj_REB,Proj_AST,Total_PRA,Actual_PTS,Actual_REB,Actual_AST,Actual_PRA
2026-02-04,10:00 pm ET,Ja Morant,Grizzlies,Kings,21.14,3.0,8.35,32.5,,,,
2026-02-04,10:00 pm ET,Jaren Jackson Jr.,Grizzlies,Kings,20.79,6.12,2.36,29.27,,,,
2026-02-04,10:00 pm ET,Russell Westbrook,Kings,Grizzlies,18.92,3.75,5.86,28.52,13.0,0.0,5.0,18.0
2026-02-04,10:00 pm ET,Domantas Sabonis,Kings,Grizzlies,13.4,8.78,4.77,26.95,24.0,15.0,3.0,42.0
2026-02-04,10:00 pm ET,DeMar DeRozan,Kings,Grizzlies,17.55,3.45,3.9,24.9,20.0,3.0,5.0,28.0
2026-02-04,10:00 pm ET,Zach LaVine,Kings,Grizzlies,16.55,3.22,2.5,22.27,11.0,1.0,0.0,12.0
2026-02-04,10:00 pm ET,Jock Landale,Grizzlies,Kings,12.75,7.38,1.54,21.67,,,,
2026-02-04,10:00 pm ET,Cedric Coward,Grizzlies,Kings,13.72,4.57,2.8,21.09,5.0,7.0,6.0,18.0
2026-02-04,10:00 pm ET,Cam Spencer,Grizzlies,Kings,10.74,2.95,6.25,19.95,20.0,3.0,5.0,28.0
2026-02-04,10:00 pm ET,Malik Monk,Kings,Grizzlies,13.62,2.87,3.29,19.78,13.0,0.0,4.0,17.0
2026-02-04,10:00 pm ET,GG Jackson,Grizzlies,Kings,12.46,4.25,2.09,18.81,16.0,7.0,2.0,25.0
2026-02-04,10:00 pm ET,Jaylen Wells,Grizzlies,Kings,11.81,3.45,1.66,16.92,18.0,3.0,1.0,22.0
2026-02-04,10:00 pm ET,Maxime Raynaud,Kings,Grizzlies,8.55,6.57,1.26,16.38,6.0,5.0,0.0,11.0
2026-02-04,10:00 pm ET,Vince Williams Jr.,Grizzlies,Kings,9.62,3.28,3.08,15.99,,,,
2026-02-04,10:00 pm ET,Nique Clifford,Kings,Grizzlies,9.5,3.9,1.84,15.24,14.0,3.0,5.0,22.0
2026-02-04,10:00 pm ET,Dylan Cardwell,Kings,Grizzlies,5.51,7.59,1.44,14.54,5.0,11.0,1.0,17.0
2026-02-04,10:00 pm ET,Precious Achiuwa,Kings,Grizzlies,7.16,5.77,1.18,14.11,0.0,0.0,0.0,0.0
2026-02-04,10:00 pm ET,Kentavious Caldwell-Pope,Grizzlies,Kings,7.98,2.45,2.09,12.52,15.0,2.0,2.0,19.0
2026-02-04,10:00 pm ET,John Konchar,Grizzlies,Kings,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Santi Aldama,Grizzlies,Kings,0.0,0.0,0.0,0.0,12.0,6.0,0.0,18.0
2026-02-04,10:00 pm ET,Christian Koloko,Grizzlies,Kings,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Kobe Bufkin,Grizzlies,Kings,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Olivier-Maxence Prosper,Grizzlies,Kings,0.0,0.0,0.0,0.0,8.0,5.0,0.0,13.0
2026-02-04,10:00 pm ET,PJ Hall,Grizzlies,Kings,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Javon Small,Grizzlies,Kings,0.0,0.0,0.0,0.0,5.0,6.0,2.0,13.0
2026-02-04,10:00 pm ET,Dennis Schroder,Kings,Grizzlies,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Doug McDermott,Kings,Grizzlies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,10:00 pm ET,Dario Saric,Kings,Grizzlies,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Keegan Murray,Kings,Grizzlies,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Keon Ellis,Kings,Grizzlies,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:00 pm ET,Daeqwon Plowden,Kings,Grizzlies,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,10:00 pm ET,Devin Carter,Kings,Grizzlies,0.0,0.0,0.0,0.0,10.0,6.0,5.0,21.0
2026-02-04,10:30 pm ET,Donovan Mitchell,Cavaliers,Clippers,27.27,4.51,6.86,38.64,29.0,5.0,9.0,43.0
2026-02-04,10:30 pm ET,Kawhi Leonard,Clippers,Cavaliers,27.82,5.83,4.07,37.72,25.0,7.0,4.0,36.0
2026-02-04,10:30 pm ET,James Harden,Clippers,Cavaliers,25.23,4.77,7.41,37.41,,,,
2026-02-04,10:30 pm ET,Evan Mobley,Cavaliers,Clippers,17.66,8.32,4.25,30.23,,,,
2026-02-04,10:30 pm ET,Darius Garland,Cavaliers,Clippers,18.62,2.39,6.44,27.45,,,,
2026-02-04,10:30 pm ET,Jaylon Tyson,Cavaliers,Clippers,16.94,6.38,4.03,27.35,17.0,4.0,1.0,22.0
2026-02-04,10:30 pm ET,Ivica Zubac,Clippers,Cavaliers,12.37,10.89,1.36,24.62,,,,
2026-02-04,10:30 pm ET,Jarrett Allen,Cavaliers,Clippers,13.85,8.04,1.91,23.81,10.0,11.0,3.0,24.0
2026-02-04,10:30 pm ET,Jordan Miller,Clippers,Cavaliers,12.43,4.76,1.95,19.14,5.0,4.0,3.0,12.0
2026-02-04,10:30 pm ET,Kobe Sanders,Clippers,Cavaliers,10.03,3.47,1.98,15.49,4.0,2.0,2.0,8.0
2026-02-04,10:30 pm ET,Kris Dunn,Clippers,Cavaliers,8.14,3.56,2.93,14.63,2.0,3.0,6.0,11.0
2026-02-04,10:30 pm ET,Nae'Qwan Tomlin,Cavaliers,Clippers,8.05,3.95,1.57,13.56,4.0,1.0,2.0,7.0
2026-02-04,10:30 pm ET,Dean Wade,Cavaliers,Clippers,5.94,4.51,1.27,11.73,5.0,3.0,3.0,11.0
2026-02-04,10:30 pm ET,Brook Lopez,Clippers,Cavaliers,6.54,2.55,1.07,10.16,5.0,2.0,1.0,8.0
2026-02-04,10:30 pm ET,Nicolas Batum,Clippers,Cavaliers,4.61,3.28,0.93,8.82,0.0,0.0,0.0,0.0
2026-02-04,10:30 pm ET,Tyrese Proctor,Cavaliers,Clippers,4.55,1.15,1.45,7.16,6.0,0.0,2.0,8.0
2026-02-04,10:30 pm ET,Larry Nance Jr.,Cavaliers,Clippers,0.0,0.0,0.0,0.0,8.0,1.0,1.0,10.0
2026-02-04,10:30 pm ET,Lonzo Ball,Cavaliers,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:30 pm ET,Thomas Bryant,Cavaliers,Clippers,0.0,0.0,0.0,0.0,8.0,8.0,0.0,16.0
2026-02-04,10:30 pm ET,De'Andre Hunter,Cavaliers,Clippers,0.0,0.0,0.0,0.0,,,,
2026-02-04,10:30 pm ET,Sam Merrill,Cavaliers,Clippers,0.0,0.0,0.0,0.0,11.0,1.0,0.0,12.0
2026-02-04,10:30 pm ET,Craig Porter Jr.,Cavaliers,Clippers,0.0,0.0,0.0,0.0,7.0,2.0,2.0,11.0
2026-02-04,10:30 pm ET,Bogdan Bogdanovic,Clippers,Cavaliers,0.0,0.0,0.0,0.0,2.0,1.0,1.0,4.0
2026-02-04,10:30 pm ET,John Collins,Clippers,Cavaliers,0.0,0.0,0.0,0.0,19.0,7.0,0.0,26.0
2026-02-04,10:30 pm ET,Kobe Brown,Clippers,Cavaliers,0.0,0.0,0.0,0.0,10.0,0.0,0.0,10.0
2026-02-04,10:30 pm ET,Cam Christie,Clippers,Cavaliers,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0
2026-02-04,10:30 pm ET,Yanic Konan Niederhauser,Clippers,Cavaliers,0.0,0.0,0.0,0.0,10.0,8.0,0.0,18.0
2026-02-04,7:00 pm ET,Nikola Jokic,Nuggets,Knicks,26.26,10.9,10.06,47.22,30.0,14.0,10.0,54.0
2026-02-04,7:00 pm ET,Karl-Anthony Towns,Knicks,Nuggets,17.15,12.12,2.28,31.55,24.0,12.0,1.0,37.0
2026-02-04,7:00 pm ET,Jalen Brunson,Knicks,Nuggets,21.62,3.29,5.7,30.62,42.0,8.0,9.0,59.0
2026-02-04,7:00 pm ET,Peyton Watson,Nuggets,Knicks,19.04,4.41,2.63,26.08,10.0,5.0,2.0,17.0
2026-02-04,7:00 pm ET,OG Anunoby,Knicks,Nuggets,17.26,5.07,2.59,24.92,20.0,8.0,4.0,32.0
2026-02-04,7:00 pm ET,Josh Hart,Knicks,Nuggets,11.26,6.92,4.78,22.96,,,,
2026-02-04,7:00 pm ET,Jonas Valanciunas,Nuggets,Knicks,11.82,8.09,1.8,21.71,2.0,3.0,2.0,7.0
2026-02-04,7:00 pm ET,Miles McBride,Knicks,Nuggets,14.15,3.06,3.29,20.5,,,,
2026-02-04,7:00 pm ET,Mikal Bridges,Knicks,Nuggets,14.14,2.97,3.29,20.4,5.0,4.0,4.0,13.0
2026-02-04,7:00 pm ET,Tim Hardaway Jr.,Nuggets,Knicks,13.56,3.5,1.78,18.84,19.0,6.0,2.0,27.0
2026-02-04,7:00 pm ET,Mitchell Robinson,Knicks,Nuggets,5.74,9.14,0.74,15.62,10.0,8.0,0.0,18.0
2026-02-04,7:00 pm ET,Bruce Brown,Nuggets,Knicks,9.72,3.57,1.9,15.19,10.0,5.0,0.0,15.0
2026-02-04,7:00 pm ET,Landry Shamet,Knicks,Nuggets,9.77,2.03,1.67,13.46,16.0,2.0,3.0,21.0
2026-02-04,7:00 pm ET,Jalen Pickett,Nuggets,Knicks,6.39,3.28,2.73,12.39,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Spencer Jones,Nuggets,Knicks,6.89,3.54,0.99,11.42,0.0,3.0,0.0,3.0
2026-02-04,7:00 pm ET,Zeke Nnaji,Nuggets,Knicks,4.69,4.07,0.72,9.47,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Aaron Gordon,Nuggets,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-04,7:00 pm ET,Jamal Murray,Nuggets,Knicks,0.0,0.0,0.0,0.0,39.0,5.0,6.0,50.0
2026-02-04,7:00 pm ET,Julian Strawther,Nuggets,Knicks,0.0,0.0,0.0,0.0,11.0,3.0,1.0,15.0
2026-02-04,7:00 pm ET,Christian Braun,Nuggets,Knicks,0.0,0.0,0.0,0.0,6.0,7.0,6.0,19.0
2026-02-04,7:00 pm ET,DaRon Holmes II,Nuggets,Knicks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Hunter Tyson,Nuggets,Knicks,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Curtis Jones,Nuggets,Knicks,0.0,0.0,0.0,0.0,,,,
2026-02-04,7:00 pm ET,Jordan Clarkson,Knicks,Nuggets,0.0,0.0,0.0,0.0,11.0,1.0,1.0,13.0
2026-02-04,7:00 pm ET,Guerschon Yabusele,Knicks,Nuggets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Ariel Hukporti,Knicks,Nuggets,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:00 pm ET,Kevin McCullar Jr.,Knicks,Nuggets,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0
2026-02-04,7:00 pm ET,Trey Jemison III,Knicks,Nuggets,0.0,0.0,0.0,0.0,,,,
2026-02-04,7:00 pm ET,Tyler Kolek,Knicks,Nuggets,0.0,0.0,0.0,0.0,1.0,1.0,4.0,6.0
2026-02-04,7:00 pm ET,Mohamed Diawara,Knicks,Nuggets,0.0,0.0,0.0,0.0,5.0,0.0,0.0,5.0
2026-02-04,7:30 pm ET,Anthony Edwards,Timberwolves,Raptors,29.7,6.15,3.8,39.65,30.0,8.0,5.0,43.0
2026-02-04,7:30 pm ET,Julius Randle,Timberwolves,Raptors,21.87,5.87,4.51,32.26,17.0,4.0,4.0,25.0
2026-02-04,7:30 pm ET,Scottie Barnes,Raptors,Timberwolves,18.74,7.67,5.74,32.15,22.0,10.0,8.0,40.0
2026-02-04,7:30 pm ET,Brandon Ingram,Raptors,Timberwolves,21.37,5.3,4.52,31.19,25.0,6.0,4.0,35.0
2026-02-04,7:30 pm ET,RJ Barrett,Raptors,Timberwolves,18.13,5.71,3.4,27.24,13.0,6.0,1.0,20.0
2026-02-04,7:30 pm ET,Naz Reid,Timberwolves,Raptors,15.01,7.1,3.05,25.16,17.0,8.0,3.0,28.0
2026-02-04,7:30 pm ET,Jaden McDaniels,Timberwolves,Raptors,14.48,4.28,3.36,22.12,19.0,1.0,4.0,24.0
2026-02-04,7:30 pm ET,Sandro Mamukelashvili,Raptors,Timberwolves,13.22,5.95,2.67,21.84,14.0,4.0,2.0,20.0
2026-02-04,7:30 pm ET,Collin Murray-Boyles,Raptors,Timberwolves,9.8,7.65,3.54,20.99,13.0,4.0,3.0,20.0
2026-02-04,7:30 pm ET,Donte DiVincenzo,Timberwolves,Raptors,12.28,3.99,3.68,19.95,15.0,6.0,5.0,26.0
2026-02-04,7:30 pm ET,Jamal Shead,Raptors,Timberwolves,7.24,2.64,3.56,13.44,7.0,2.0,4.0,13.0
2026-02-04,7:30 pm ET,Bones Hyland,Timberwolves,Raptors,6.34,2.17,2.3,10.82,20.0,7.0,3.0,30.0
2026-02-04,7:30 pm ET,Ja'Kobe Walter,Raptors,Timberwolves,6.74,2.28,1.39,10.41,3.0,0.0,1.0,4.0
2026-02-04,7:30 pm ET,Gradey Dick,Raptors,Timberwolves,6.49,2.56,0.92,9.97,6.0,4.0,0.0,10.0
2026-02-04,7:30 pm ET,Mike Conley,Timberwolves,Raptors,4.74,1.93,1.95,8.62,,,,
2026-02-04,7:30 pm ET,Jaylen Clark,Timberwolves,Raptors,3.64,2.0,0.95,6.59,0.0,0.0,0.0,0.0
2026-02-04,7:30 pm ET,Ochai Agbaji,Raptors,Timberwolves,3.39,1.51,0.58,5.48,,,,
2026-02-04,7:30 pm ET,Rudy Gobert,Timberwolves,Raptors,0.0,0.0,0.0,0.0,10.0,12.0,2.0,24.0
2026-02-04,7:30 pm ET,Joe Ingles,Timberwolves,Raptors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:30 pm ET,Joan Beringer,Timberwolves,Raptors,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:30 pm ET,Immanuel Quickley,Raptors,Timberwolves,0.0,0.0,0.0,0.0,23.0,5.0,8.0,36.0
2026-02-04,7:30 pm ET,A.J. Lawson,Raptors,Timberwolves,0.0,0.0,0.0,0.0,,,,
2026-02-04,7:30 pm ET,Jonathan Mogbo,Raptors,Timberwolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:30 pm ET,Jamison Battle,Raptors,Timberwolves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2026-02-04,7:30 pm ET,Alijah Martin,Raptors,Timberwolves,0.0,0.0,0.0,0.0,,,,
2026-02-04,8:00 pm ET,Giannis Antetokounmpo,Bucks,Pelicans,22.35,9.88,5.51,37.75,,,,
2026-02-04,8:00 pm ET,Alperen Sengun,Rockets,Celtics,21.59,9.45,5.76,36.79,13.0,9.0,3.0,25.0
2026-02-04,8:00 pm ET,Kevin Durant,Rockets,Celtics,25.16,4.82,5.29,35.27,15.0,5.0,1.0,21.0
2026-02-04,8:00 pm ET,Saddiq Bey,Pelicans,Bucks,21.59,6.25,3.11,30.95,22.0,3.0,2.0,27.0
2026-02-04,8:00 pm ET,Zion Williamson,Pelicans,Bucks,18.63,7.8,3.36,29.79,20.0,5.0,8.0,33.0
2026-02-04,8:00 pm ET,Trey Murphy III,Pelicans,Bucks,21.22,4.22,4.29,29.73,44.0,6.0,6.0,56.0
2026-02-04,8:00 pm ET,Amen Thompson,Rockets,Celtics,15.31,7.6,6.66,29.57,11.0,4.0,4.0,19.0
2026-02-04,8:00 pm ET,Ryan Rollins,Bucks,Pelicans,17.21,5.2,5.57,27.98,27.0,4.0,4.0,35.0
