Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA,Actual_PTS,Actual_REB,Actual_AST,Actual_PRA
Paolo Banchero,Magic,Grizzlies,2026-01-18,1st Qtr             ,21.41,9.27,5.06,35.75,16.0,8.0,9.0,33.0
Ja Morant,Grizzlies,Magic,2026-01-18,1st Qtr             ,19.65,3.01,6.33,28.99,24.0,5.0,13.0,42.0
Desmond Bane,Magic,Grizzlies,2026-01-18,1st Qtr             ,19.15,4.22,3.88,27.25,11.0,4.0,3.0,18.0
Franz Wagner,Magic,Grizzlies,2026-01-18,1st Qtr             ,19.53,4.81,2.83,27.17,14.0,4.0,3.0,21.0
Wendell Carter Jr.,Magic,Grizzlies,2026-01-18,1st Qtr             ,14.13,8.82,2.63,25.58,18.0,7.0,4.0,29.0
Jalen Suggs,Magic,Grizzlies,2026-01-18,1st Qtr             ,18.02,3.3,3.96,25.27,,,,
Cam Spencer,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.73,3.99,7.55,25.27,10.0,0.0,3.0,13.0
Anthony Black,Magic,Grizzlies,2026-01-18,1st Qtr             ,15.79,3.92,4.91,24.62,19.0,2.0,6.0,27.0
Jaren Jackson Jr.,Grizzlies,Magic,2026-01-18,1st Qtr             ,17.21,5.29,2.02,24.52,17.0,5.0,0.0,22.0
Santi Aldama,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.06,7.99,3.32,24.38,9.0,5.0,3.0,17.0
Cedric Coward,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.21,6.74,2.57,22.51,13.0,4.0,3.0,20.0
Jock Landale,Grizzlies,Magic,2026-01-18,1st Qtr             ,11.43,7.04,2.1,20.56,21.0,8.0,3.0,32.0
Jaylen Wells,Grizzlies,Magic,2026-01-18,1st Qtr             ,11.88,3.66,1.82,17.35,10.0,2.0,0.0,12.0
PJ Hall,Grizzlies,Magic,2026-01-18,1st Qtr             ,7.7,5.22,1.05,13.98,,,,
GG Jackson,Grizzlies,Magic,2026-01-18,1st Qtr             ,8.72,3.91,1.04,13.67,7.0,4.0,0.0,11.0
Kentavious Caldwell-Pope,Grizzlies,Magic,2026-01-18,1st Qtr             ,8.96,2.97,1.47,13.4,7.0,1.0,1.0,9.0
Tristan da Silva,Magic,Grizzlies,2026-01-18,1st Qtr             ,8.99,2.82,1.58,13.39,4.0,3.0,0.0,7.0
Vince Williams Jr.,Grizzlies,Magic,2026-01-18,1st Qtr             ,7.04,3.48,2.57,13.08,5.0,5.0,2.0,12.0
Jase Richardson,Magic,Grizzlies,2026-01-18,1st Qtr             ,8.28,2.31,2.03,12.63,11.0,4.0,3.0,18.0
Goga Bitadze,Magic,Grizzlies,2026-01-18,1st Qtr             ,6.64,5.14,0.66,12.44,9.0,6.0,1.0,16.0
Olivier-Maxence Prosper,Grizzlies,Magic,2026-01-18,1st Qtr             ,5.93,1.98,1.76,9.67,,,,
Christian Koloko,Grizzlies,Magic,2026-01-18,1st Qtr             ,4.54,3.29,0.88,8.71,,,,
Javon Small,Grizzlies,Magic,2026-01-18,1st Qtr             ,3.89,2.04,2.26,8.2,,,,
Tyus Jones,Magic,Grizzlies,2026-01-18,1st Qtr             ,4.01,1.55,1.94,7.5,0.0,2.0,1.0,3.0
Noah Penda,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.65,2.43,0.89,6.97,5.0,2.0,0.0,7.0
Jonathan Isaac,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.19,2.19,0.93,6.3,0.0,0.0,0.0,0.0
Jamal Cain,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.65,1.77,0.53,5.95,2.0,0.0,0.0,2.0
Jett Howard,Magic,Grizzlies,2026-01-18,1st Qtr             ,2.63,1.47,0.77,4.87,,,,
