Player,Projection,Sportsbook Line,Difference
Brandon Miller,21.92,21.5,0.4200000000000017
LaMelo Ball,19.29,20.5,-1.2100000000000009
Kon Knueppel,16.61,18.5,-1.8900000000000006
Nickeil Alexander-Walker,19.53,17.5,2.030000000000001
Miles Bridges,15.08,16.5,-1.42
Dyson Daniels,10.54,10.5,0.03999999999999915
Moussa Diabate,9.45,9.5,-0.05000000000000071
Ryan Kalkbrenner,6.36,6.5,-0.13999999999999968
Alperen Sengun,20.78,18.5,2.280000000000001
Kevin Durant,24.09,16.5,7.59
Cooper Flagg,28.02,24.5,3.5199999999999996
Victor Wembanyama,21.38,23.5,-2.120000000000001
De'Aaron Fox,15.76,17.5,-1.7400000000000002
Naji Marshall,19.32,16.5,2.8200000000000003
Stephon Castle,11.3,15.5,-4.199999999999999
Max Christie,16.33,13.5,2.8299999999999983
Devin Vassell,12.03,12.5,-0.47000000000000064
Julian Champagnie,11.38,10.5,0.8800000000000008
Dylan Harper,11.61,9.5,2.1099999999999994
Harrison Barnes,8.87,8.5,0.3699999999999992
Paolo Banchero,22.06,24.5,-2.4400000000000013
Desmond Bane,17.73,20.5,-2.7699999999999996
Anthony Black,16.11,16.5,-0.39000000000000057
Jalen Suggs,14.33,16.5,-2.17
Ace Bailey,16.05,12.5,3.5500000000000007
Brice Sensabaugh,16.38,8.5,7.879999999999999
Isaiah Collier,15.73,8.5,7.23
Tristan da Silva,7.36,7.5,-0.13999999999999968
Kyle Filipowski,11.4,5.5,5.9
Brandon Miller,21.92,21.5,0.4200000000000017
LaMelo Ball,19.29,20.5,-1.2100000000000009
Kon Knueppel,16.61,18.5,-1.8900000000000006
Nickeil Alexander-Walker,19.53,17.5,2.030000000000001
Miles Bridges,15.08,16.5,-1.42
Dyson Daniels,10.54,10.5,0.03999999999999915
Moussa Diabate,9.45,9.5,-0.05000000000000071
Ryan Kalkbrenner,6.36,6.5,-0.13999999999999968
Nikola Jokic,26.54,27.5,-0.9600000000000009
Matas Buzelis,15.01,17.5,-2.49
Jalen Smith,11.9,11.5,0.40000000000000036
Isaac Okoro,10.25,9.5,0.75
Patrick Williams,10.73,8.5,2.2300000000000004
LeBron James,19.0,23.5,-4.5
De'Anthony Melton,14.87,15.5,-0.6300000000000008
Moses Moody,12.57,14.5,-1.9299999999999997
Brandin Podziemski,10.38,12.5,-2.119999999999999
Deandre Ayton,11.51,11.5,0.009999999999999787
Rui Hachimura,10.14,11.5,-1.3599999999999994
Marcus Smart,8.19,9.5,-1.3100000000000005
Jake LaRavia,8.23,9.5,-1.2699999999999996
Al Horford,9.17,9.5,-0.33000000000000007
Draymond Green,8.04,8.5,-0.46000000000000085
Will Richard,6.47,7.5,-1.0300000000000002
Quinten Post,7.1,7.5,-0.40000000000000036
Joel Embiid,31.23,28.5,2.7300000000000004
Tyrese Maxey,25.66,25.5,0.16000000000000014
Devin Booker,24.11,22.5,1.6099999999999994
Dillon Brooks,21.11,19.5,1.6099999999999994
Collin Gillespie,15.68,14.5,1.1799999999999997
VJ Edgecombe,14.67,14.5,0.16999999999999993
Mark Williams,12.81,11.5,1.3100000000000005
Jordan Goodwin,9.0,9.5,-0.5
Royce O'Neale,10.46,8.5,1.9600000000000009
Oso Ighodaro,6.48,5.5,0.9800000000000004
