Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Paolo Banchero,Magic,Grizzlies,2026-01-18,1st Qtr             ,21.41,9.27,5.06,35.75
Ja Morant,Grizzlies,Magic,2026-01-18,1st Qtr             ,19.65,3.01,6.33,28.99
Desmond Bane,Magic,Grizzlies,2026-01-18,1st Qtr             ,19.15,4.22,3.88,27.25
Franz Wagner,Magic,Grizzlies,2026-01-18,1st Qtr             ,19.53,4.81,2.83,27.17
Wendell Carter Jr.,Magic,Grizzlies,2026-01-18,1st Qtr             ,14.13,8.82,2.63,25.58
Jalen Suggs,Magic,Grizzlies,2026-01-18,1st Qtr             ,18.02,3.3,3.96,25.27
Cam Spencer,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.73,3.99,7.55,25.27
Anthony Black,Magic,Grizzlies,2026-01-18,1st Qtr             ,15.79,3.92,4.91,24.62
Jaren Jackson Jr.,Grizzlies,Magic,2026-01-18,1st Qtr             ,17.21,5.29,2.02,24.52
Santi Aldama,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.06,7.99,3.32,24.38
Cedric Coward,Grizzlies,Magic,2026-01-18,1st Qtr             ,13.21,6.74,2.57,22.51
Jock Landale,Grizzlies,Magic,2026-01-18,1st Qtr             ,11.43,7.04,2.1,20.56
Jaylen Wells,Grizzlies,Magic,2026-01-18,1st Qtr             ,11.88,3.66,1.82,17.35
PJ Hall,Grizzlies,Magic,2026-01-18,1st Qtr             ,7.7,5.22,1.05,13.98
GG Jackson,Grizzlies,Magic,2026-01-18,1st Qtr             ,8.72,3.91,1.04,13.67
Kentavious Caldwell-Pope,Grizzlies,Magic,2026-01-18,1st Qtr             ,8.96,2.97,1.47,13.4
Tristan da Silva,Magic,Grizzlies,2026-01-18,1st Qtr             ,8.99,2.82,1.58,13.39
Vince Williams Jr.,Grizzlies,Magic,2026-01-18,1st Qtr             ,7.04,3.48,2.57,13.08
Jase Richardson,Magic,Grizzlies,2026-01-18,1st Qtr             ,8.28,2.31,2.03,12.63
Goga Bitadze,Magic,Grizzlies,2026-01-18,1st Qtr             ,6.64,5.14,0.66,12.44
Olivier-Maxence Prosper,Grizzlies,Magic,2026-01-18,1st Qtr             ,5.93,1.98,1.76,9.67
Christian Koloko,Grizzlies,Magic,2026-01-18,1st Qtr             ,4.54,3.29,0.88,8.71
Javon Small,Grizzlies,Magic,2026-01-18,1st Qtr             ,3.89,2.04,2.26,8.2
Tyus Jones,Magic,Grizzlies,2026-01-18,1st Qtr             ,4.01,1.55,1.94,7.5
Noah Penda,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.65,2.43,0.89,6.97
Jonathan Isaac,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.19,2.19,0.93,6.3
Jamal Cain,Magic,Grizzlies,2026-01-18,1st Qtr             ,3.65,1.77,0.53,5.95
Jett Howard,Magic,Grizzlies,2026-01-18,1st Qtr             ,2.63,1.47,0.77,4.87
Michael Porter Jr.,Nets,Bulls,2026-01-18,7:00 pm ET,25.79,8.2,3.96,37.95
Trey Murphy III,Pelicans,Rockets,2026-01-18,7:00 pm ET,26.8,5.41,4.32,36.52
Kevin Durant,Rockets,Pelicans,2026-01-18,7:00 pm ET,26.12,6.25,3.78,36.15
Amen Thompson,Rockets,Pelicans,2026-01-18,7:00 pm ET,22.19,9.45,4.37,36.0
LaMelo Ball,Nets,Bulls,2026-01-18,7:00 pm ET,21.68,4.48,6.36,32.52
Josh Giddey,Bulls,Nets,2026-01-18,7:00 pm ET,16.37,7.3,7.24,30.91
Nikola Vucevic,Bulls,Nets,2026-01-18,7:00 pm ET,17.65,8.5,3.31,29.46
Alperen Sengun,Rockets,Pelicans,2026-01-18,7:00 pm ET,16.82,7.8,4.45,29.07
Miles Bridges,Nets,Bulls,2026-01-18,7:00 pm ET,16.6,7.8,4.17,28.57
Zion Williamson,Pelicans,Rockets,2026-01-18,7:00 pm ET,18.39,4.88,3.48,26.75
Brandon Miller,Nets,Bulls,2026-01-18,7:00 pm ET,18.98,4.41,3.29,26.68
Tari Eason,Rockets,Pelicans,2026-01-18,7:00 pm ET,14.87,7.69,1.91,24.47
Kon Knueppel,Nets,Bulls,2026-01-18,7:00 pm ET,15.17,5.08,3.6,23.85
Derik Queen,Pelicans,Rockets,2026-01-18,7:00 pm ET,10.58,8.73,4.05,23.37
Jabari Smith Jr.,Rockets,Pelicans,2026-01-18,7:00 pm ET,15.2,6.29,1.5,22.99
Saddiq Bey,Pelicans,Rockets,2026-01-18,7:00 pm ET,15.53,4.37,2.82,22.72
Cam Thomas,Nets,Bulls,2026-01-18,7:00 pm ET,16.43,2.61,2.38,21.42
Tre Jones,Bulls,Nets,2026-01-18,7:00 pm ET,11.95,3.08,6.1,21.12
Noah Clowney,Nets,Bulls,2026-01-18,7:00 pm ET,13.31,4.74,2.84,20.89
Nic Claxton,Nets,Bulls,2026-01-18,7:00 pm ET,11.12,7.01,2.52,20.64
Jeremiah Fears,Pelicans,Rockets,2026-01-18,7:00 pm ET,12.88,4.2,3.03,20.12
Egor Demin,Nets,Bulls,2026-01-18,7:00 pm ET,12.23,3.9,3.58,19.71
Day'Ron Sharpe,Nets,Bulls,2026-01-18,7:00 pm ET,10.28,7.19,2.16,19.63
Moussa Diabate,Nets,Bulls,2026-01-18,7:00 pm ET,8.19,8.79,2.32,19.3
Ayo Dosunmu,Bulls,Nets,2026-01-18,7:00 pm ET,11.92,2.88,3.5,18.3
Steven Adams,Rockets,Pelicans,2026-01-18,7:00 pm ET,7.33,8.51,2.06,17.9
Coby White,Bulls,Nets,2026-01-18,7:00 pm ET,11.27,3.45,2.95,17.66
Matas Buzelis,Bulls,Nets,2026-01-18,7:00 pm ET,12.09,3.7,1.83,17.62
Zach Collins,Bulls,Nets,2026-01-18,7:00 pm ET,10.06,5.3,1.92,17.29
Ryan Kalkbrenner,Nets,Bulls,2026-01-18,7:00 pm ET,8.75,6.84,1.64,17.23
Collin Sexton,Nets,Bulls,2026-01-18,7:00 pm ET,11.6,2.76,2.49,16.86
