Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Joel Embiid,76ers,Blazers,2026-02-09,10:00 pm ET,31.39,8.04,5.07,44.5
Luka Doncic,Lakers,Thunder,2026-02-09,10:00 pm ET,29.54,6.97,7.34,43.86
Shai Gilgeous-Alexander,Thunder,Lakers,2026-02-09,10:00 pm ET,29.35,4.5,6.89,40.74
Tyrese Maxey,76ers,Blazers,2026-02-09,10:00 pm ET,25.59,3.51,7.12,36.22
Ja Morant,Grizzlies,Warriors,2026-02-09,10:00 pm ET,21.71,3.12,8.36,33.19
LeBron James,Lakers,Thunder,2026-02-09,10:00 pm ET,20.08,4.8,6.51,31.39
Jaren Jackson Jr.,Grizzlies,Warriors,2026-02-09,10:00 pm ET,21.56,5.87,2.52,29.94
Stephen Curry,Warriors,Grizzlies,2026-02-09,10:00 pm ET,21.07,2.82,5.17,29.07
Donovan Clingan,Blazers,76ers,2026-02-09,10:00 pm ET,13.38,11.56,1.95,26.89
Jalen Williams,Thunder,Lakers,2026-02-09,10:00 pm ET,16.0,3.58,5.37,24.94
VJ Edgecombe,76ers,Blazers,2026-02-09,10:00 pm ET,14.13,5.55,3.42,23.1
Jock Landale,Grizzlies,Warriors,2026-02-09,10:00 pm ET,13.02,6.71,1.9,21.63
Toumani Camara,Blazers,76ers,2026-02-09,10:00 pm ET,13.3,5.88,2.41,21.59
Kelly Oubre Jr.,76ers,Blazers,2026-02-09,10:00 pm ET,13.67,4.85,2.06,20.58
Moses Moody,Warriors,Grizzlies,2026-02-09,10:00 pm ET,13.89,4.7,1.69,20.27
GG Jackson,Grizzlies,Warriors,2026-02-09,10:00 pm ET,12.95,5.11,2.16,20.22
De'Anthony Melton,Warriors,Grizzlies,2026-02-09,10:00 pm ET,13.81,3.14,3.0,19.95
Cason Wallace,Thunder,Lakers,2026-02-09,10:00 pm ET,13.59,3.59,2.56,19.74
Brandin Podziemski,Warriors,Grizzlies,2026-02-09,10:00 pm ET,10.79,4.55,4.38,19.72
Caleb Love,Blazers,76ers,2026-02-09,10:00 pm ET,12.96,2.37,3.25,18.58
Jaylin Williams,Thunder,Lakers,2026-02-09,10:00 pm ET,8.67,5.92,2.71,17.31
Draymond Green,Warriors,Grizzlies,2026-02-09,10:00 pm ET,8.38,4.23,4.25,16.87
Kenrich Williams,Thunder,Lakers,2026-02-09,10:00 pm ET,10.15,4.78,1.93,16.86
Isaiah Joe,Thunder,Lakers,2026-02-09,10:00 pm ET,11.66,2.94,1.95,16.55
Al Horford,Warriors,Grizzlies,2026-02-09,10:00 pm ET,9.02,4.47,2.94,16.43
Rui Hachimura,Lakers,Thunder,2026-02-09,10:00 pm ET,10.58,3.59,1.28,15.45
Sidy Cissoko,Blazers,76ers,2026-02-09,10:00 pm ET,9.8,3.46,2.15,15.41
Vince Williams Jr.,Grizzlies,Warriors,2026-02-09,10:00 pm ET,8.36,2.53,2.58,13.47
Marcus Smart,Lakers,Thunder,2026-02-09,10:00 pm ET,8.4,2.89,2.04,13.33
Jake LaRavia,Lakers,Thunder,2026-02-09,10:00 pm ET,8.47,3.23,1.45,13.15
Jarred Vanderbilt,Lakers,Thunder,2026-02-09,10:00 pm ET,6.27,5.11,1.39,12.78
Luke Kennard,Lakers,Thunder,2026-02-09,10:00 pm ET,8.07,3.11,1.42,12.59
Walter Clayton Jr.,Grizzlies,Warriors,2026-02-09,10:00 pm ET,7.54,2.06,2.79,12.4
Dominick Barlow,76ers,Blazers,2026-02-09,10:00 pm ET,7.57,3.19,1.09,11.86
Quinten Post,Warriors,Grizzlies,2026-02-09,10:00 pm ET,5.9,3.38,0.89,10.17
Will Richard,Warriors,Grizzlies,2026-02-09,10:00 pm ET,5.78,2.1,1.61,9.49
Adem Bona,76ers,Blazers,2026-02-09,10:00 pm ET,4.65,3.91,0.46,9.02
Branden Carlson,Thunder,Lakers,2026-02-09,10:00 pm ET,4.48,2.94,0.6,8.03
Kentavious Caldwell-Pope,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Kyle Anderson,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Brandon Clarke,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Charles Bassey,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Ty Jerome,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
John Konchar,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Santi Aldama,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Scotty Pippen Jr.,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Christian Koloko,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Taylor Hendricks,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Kobe Bufkin,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Olivier-Maxence Prosper,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Cam Spencer,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Jaylen Wells,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Cedric Coward,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Javon Small,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Jahmai Mashack,Grizzlies,Warriors,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Jimmy Butler III,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Seth Curry,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Buddy Hield,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Gary Payton II,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Jonathan Kuminga,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Pat Spencer,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Gui Santos,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Trayce Jackson-Davis,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Malevy Leons,Warriors,Grizzlies,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Alex Caruso,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Isaiah Hartenstein,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Luguentz Dort,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Aaron Wiggins,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Chet Holmgren,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Ousmane Dieng,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Jared McCain,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Ajay Mitchell,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Malevy Leons,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Chris Youngblood,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Brooks Barnhizer,Thunder,Lakers,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
Maxi Kleber,Lakers,Thunder,2026-02-09,10:00 pm ET,0.0,0.0,0.0,0.0
