Name,Team,Opp,Game_Date,Game_Time,Proj_PTS,Proj_REB,Proj_AST,Total_PRA
Cade Cunningham,Pistons,Cavaliers,2026-03-03,19:00,27.97,8.06,9.93,45.95
Paolo Banchero,Magic,Wizards,2026-03-03,19:00,20.88,7.46,5.83,34.18
Donovan Mitchell,Cavaliers,Pistons,2026-03-03,19:00,23.7,3.71,5.86,33.27
LaMelo Ball,Hornets,Mavericks,2026-03-03,19:00,21.87,4.31,6.37,32.55
Cooper Flagg,Mavericks,Hornets,2026-03-03,19:00,23.51,5.73,2.48,31.72
Desmond Bane,Magic,Wizards,2026-03-03,19:00,23.4,3.81,3.75,30.95
Brandon Miller,Hornets,Mavericks,2026-03-03,19:00,22.08,4.95,3.9,30.94
James Harden,Cavaliers,Pistons,2026-03-03,19:00,17.06,5.14,7.61,29.81
Jarrett Allen,Cavaliers,Pistons,2026-03-03,19:00,17.89,9.87,1.5,29.26
Jalen Duren,Pistons,Cavaliers,2026-03-03,19:00,17.67,9.04,1.3,28.01
Evan Mobley,Cavaliers,Pistons,2026-03-03,19:00,15.42,9.58,1.95,26.94
Kon Knueppel,Hornets,Mavericks,2026-03-03,19:00,18.7,5.34,2.85,26.89
Alex Sarr,Wizards,Magic,2026-03-03,19:00,14.38,7.9,2.0,24.28
Tobias Harris,Pistons,Cavaliers,2026-03-03,19:00,15.62,6.7,1.95,24.26
Jalen Suggs,Magic,Wizards,2026-03-03,19:00,12.78,3.83,5.7,22.31
Wendell Carter Jr.,Magic,Wizards,2026-03-03,19:00,11.03,9.07,1.9,22.0
Naji Marshall,Mavericks,Hornets,2026-03-03,19:00,14.27,3.87,3.1,21.25
Brandon Williams,Mavericks,Hornets,2026-03-03,19:00,13.62,3.1,4.21,20.92
Max Christie,Mavericks,Hornets,2026-03-03,19:00,13.94,4.1,2.43,20.47
Franz Wagner,Magic,Wizards,2026-03-03,19:00,13.8,3.18,2.79,19.77
Anthony Black,Magic,Wizards,2026-03-03,19:00,13.2,3.22,3.06,19.48
Ausar Thompson,Pistons,Cavaliers,2026-03-03,19:00,9.37,5.83,3.82,19.02
Khris Middleton,Mavericks,Hornets,2026-03-03,19:00,12.64,3.68,2.64,18.96
Bub Carrington,Wizards,Magic,2026-03-03,19:00,9.93,4.19,4.38,18.5
P.J. Washington,Mavericks,Hornets,2026-03-03,19:00,12.24,4.57,1.6,18.41
Dennis Schroder,Cavaliers,Pistons,2026-03-03,19:00,10.69,2.61,4.78,18.09
Will Riley,Wizards,Magic,2026-03-03,19:00,11.48,3.82,2.31,17.62
Jaylon Tyson,Cavaliers,Pistons,2026-03-03,19:00,11.33,4.63,1.34,17.3
Duncan Robinson,Pistons,Cavaliers,2026-03-03,19:00,11.93,2.79,2.21,16.93
Bilal Coulibaly,Wizards,Magic,2026-03-03,19:00,11.27,3.14,2.4,16.81
Sam Merrill,Cavaliers,Pistons,2026-03-03,19:00,12.16,2.83,1.72,16.71
Ronald Holland II,Pistons,Cavaliers,2026-03-03,19:00,9.62,5.16,1.66,16.44
Tristan da Silva,Magic,Wizards,2026-03-03,19:00,10.02,4.18,2.1,16.3
Miles Bridges,Hornets,Mavericks,2026-03-03,19:00,10.09,4.15,2.04,16.27
Moussa Diabate,Hornets,Mavericks,2026-03-03,19:00,6.98,7.06,2.08,16.11
Daniel Gafford,Mavericks,Hornets,2026-03-03,19:00,8.86,5.55,1.35,15.75
Anthony Gill,Wizards,Magic,2026-03-03,19:00,9.54,4.08,1.95,15.58
Coby White,Hornets,Mavericks,2026-03-03,19:00,10.57,2.37,2.46,15.4
Justin Champagnie,Wizards,Magic,2026-03-03,19:00,9.69,4.09,1.3,15.08
Sharife Cooper,Wizards,Magic,2026-03-03,19:00,9.13,2.52,2.75,14.39
Marvin Bagley III,Mavericks,Hornets,2026-03-03,19:00,8.26,5.19,0.77,14.22
Paul Reed,Pistons,Cavaliers,2026-03-03,19:00,7.91,5.23,1.03,14.17
Kyshawn George,Wizards,Magic,2026-03-03,19:00,10.1,2.33,1.31,13.74
Ryan Nembhard,Mavericks,Hornets,2026-03-03,19:00,7.81,1.56,4.35,13.71
PJ Hall,Hornets,Mavericks,2026-03-03,19:00,6.64,5.74,0.87,13.24
Jaden Hardy,Wizards,Magic,2026-03-03,19:00,9.64,2.32,1.01,12.98
Tre Johnson,Wizards,Magic,2026-03-03,19:00,8.89,2.58,1.34,12.82
Jevon Carter,Magic,Wizards,2026-03-03,19:00,7.99,2.89,1.91,12.79
Moussa Cisse,Mavericks,Hornets,2026-03-03,19:00,5.14,7.03,0.56,12.72
Dean Wade,Cavaliers,Pistons,2026-03-03,19:00,6.37,4.52,1.8,12.69
Grant Williams,Hornets,Mavericks,2026-03-03,19:00,7.21,3.74,1.68,12.64
Klay Thompson,Mavericks,Hornets,2026-03-03,19:00,9.56,1.91,1.15,12.63
Dwight Powell,Mavericks,Hornets,2026-03-03,19:00,6.02,5.65,0.88,12.54
Tristan Vukcevic,Wizards,Magic,2026-03-03,19:00,7.35,3.36,1.55,12.27
Jamir Watkins,Wizards,Magic,2026-03-03,19:00,8.46,2.33,1.43,12.22
Moritz Wagner,Magic,Wizards,2026-03-03,19:00,7.67,3.24,1.2,12.11
AJ Johnson,Mavericks,Hornets,2026-03-03,19:00,7.7,2.25,2.14,12.09
Goga Bitadze,Magic,Wizards,2026-03-03,19:00,8.52,2.14,1.21,11.87
Keon Ellis,Cavaliers,Pistons,2026-03-03,19:00,6.69,3.28,1.85,11.82
Caleb Martin,Mavericks,Hornets,2026-03-03,19:00,7.34,3.3,1.1,11.74
Kyrie Irving,Mavericks,Hornets,2026-03-03,19:00,8.46,1.32,1.68,11.46
Daniss Jenkins,Pistons,Cavaliers,2026-03-03,19:00,8.07,1.92,1.03,11.02
Caris LeVert,Pistons,Cavaliers,2026-03-03,19:00,7.29,1.67,2.04,11.0
